name,tier,url,image_url,dimensions,handle_drop,ideal_for,colour,made_of,features,design_notes
CHANEL SHEARLING MEDIUM BOY BAG,DELUXE,https://zerocollective.ca/bag/chanel-shearling-medium-boy-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755806052076x579850206953713000/Chanel%20Shearling%20Medium%20Boy%20Bag%20BSBCH257-1853-0%201.jpg","MEDIUM (10"" x 6"" x 2.5"" )","11"" - 18""","WALLET, PHONE, SUNGLASSES, AND KEYS",Black with gold-tone hardware,Shearling and smooth leather,Front flap with Boy push-lock clasp; leather-trimmed shearling body; chunky chain strap; interior slip pocket,"Bold and tactile, the Shearling Medium Boy Bag blends plush black shearling with smooth leather trim for dimensional luxury. The Boy push-lock clasp and chunky chain strap bring strong architectural lines to the soft material mix. Introduced in 2011 by Karl Lagerfeld, the Boy represents a more androgynous, modern attitude within the Chanel universe. A standout option for collectors who love texture play and structural edge. Wear it with winter layers or sleek monochrome for contrast and impact."
DIOR SEQUIN CHECKERED MINI SADDLE BAG,DELUXE,https://zerocollective.ca/bag/dior-sequin-checkered-mini-saddle-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755551154057x398647097123648640/Dior%20Sequin%20Checkered%20Mini%20Saddle%20Bag%20BSBDI257-2532-0%201.jpg","X-SMALL (7"" x 6"" x 2"")","5""",CARDHOLDER AND KEYS,Ivory and black check with deep navy hardware,Embroidered and sequined fabric,"Signature saddle silhouette, flap closure, single top handle, ""D"" charm, sequined checkerboard","Playful and striking, the Sequin Checkered Mini Saddle shines with a bold black-and-white pattern rendered in shimmering sequins. The curved Saddle silhouette remains unmistakable, accented with the gold “D” charm and a single top handle. First introduced in 1999 by John Galliano, the Saddle Bag has become a symbol of expressive, fashion-forward design. A perfect choice for collectors who enjoy standout artistry and dramatic detailing. Wear it with minimalist outfits to let the sequins take centre stage."
YSL PATENT KATE CHAIN WALLET,CLASSIC,https://zerocollective.ca/bag/ysl-patent-kate-chain-wallet,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1749674271052x232910865530679070/YSL%20Patent%20Kate%20Chain%20Wallet%20BERSL255-696-0%20%5B1%5D.jpg","SMALL (9"" x 5"" x 1"")","19""","WALLET, PHONE, AND KEYS","Bold and glamorous, the Patent Kate Chain Wallet dazzles in cherry-red patent with polished gold accents. The sleek flap, interlocking YSL logo, and delicate chain combine for a refined yet statement-ready look. The Kate line has become a modern Saint Laurent icon celebrated for evening versatility. A perfect pick for women who enjoy confident colour and glossy texture. Wear it with black or metallics for dramatic contrast.",Patent leather,"Patent chain wallet, magnetic flap, interlocking YSL logo, chain strap",
CHANEL LAMBSKIN QUILTED MINI DAY FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-mini-day-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1749674842610x904466030041428600/Chanel%20Lambskin%20Quilted%20Mini%20Flap%20Bag%20BBACH255-2958-0%20%5B1%5D.jpg","X-SMALL (7"" x 5.5"" x 2"")","22.5""","CARDHOLDER, PHONE, AND KEYS","Soft and striking, this Mini Day Flap pairs deep navy lambskin with a vibrant turquoise trim for a fresh two-tone mood. The compact silhouette is quilted and finished with a gold CC turn-lock, offering both structure and softness. Chanel’s colour-play variations reflect the maison’s long heritage of tonal experimentation across small leather goods. Perfect for women who appreciate a youthful twist on classic silhouettes. Style it with denim, neutrals, or layered blues for an elevated everyday look.",Lambskin leather,"Mini day flap, two-tone trim, CC turn-lock, chain strap, compact size",
LOEWE RAFFIA BALLOON BASKET BAG,CLASSIC,https://zerocollective.ca/bag/loewe-raffia-balloon-basket-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67e1684dfd267b45a202c623_Loewe%20Balloon%20Ruffles%20Tote%20%5B1%5D.webp,"LARGE (10"" x 13"" x 7"")","10"" - 14""","BOOK, PHONE, WALLET, SUNGLASSES, AND KEYS","Golden beige raffia, tan leather trim","Raffia, calfskin leather, cotton canvas","Balloon silhouette, woven basket exterior, drawstring pouch liner","Softly sculpted and organic, the Balloon Basket offers a warm golden-beige tone with a relaxed yet elevated profile. Hand-woven raffia meets a saddle-stitched leather base and a drawstring canvas lining for thoughtful structure. The Balloon design reflects Loewe’s ongoing exploration of sculptural forms shaped by artisanal techniques. A refined option for someone who appreciates distinctive silhouettes with quiet luxury. Wear it with tonal neutrals to highlight its natural materials."
CELINE DENIM AND CALFSKIN SMALL CABAS THAIS BAG,CLASSIC,https://zerocollective.ca/bag/celine-denim-and-calfskin-small-cabas-thais-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1761837605979x349811135852463360/Celine%20Denim%20and%20Calfskin%20Small%20Cabas%20Thais%20Bag%20BOTCE259-1332-0%201.jpg","SMALL (10"" x 7"" x 5"")","4"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS",Blue denim with tan calfskin trim,Denim textile and calfskin leather,Structured tote with dual top handles; open top with hook closure; interior pocket; contrast leather panels and base,"The mix of blue denim and tan calfskin creates a structured yet casual presence in the Cabas Thais. Contrast panels, dual handles, and precise stitching elevate the everyday tote into something refined and balanced. Celine’s clean lines and disciplined construction reflect the house’s heritage in functional, minimalist elegance. A natural fit for women who appreciate practical pieces with thoughtful detailing. Style it with denim-on-denim or crisp shirting for relaxed sophistication."
FENDI MINI BAGUETTE WITH FF MOTIF,CLASSIC,https://zerocollective.ca/bag/fendi-mini-baguette-with-ff-motif,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764779004137x791751886925211100/Fendi%20Mini%20Baguette%20with%20FF%20Motif%20BSBFE2511-895-0%201.jpg","SMALL (8"" x 5"" x 2"")","22.5""","CARDHOLDER, PHONE, AND KEYS",,,,
LV EMBOSSED MONOGRAM COUSSIN PM,DELUXE,https://zerocollective.ca/bag/lv-embossed-monogram-coussin-pm,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764779539366x377818995438556000/LV%20Coussin%20BSBLV2511-2512-0%201.jpg","MEDIUM (10"" x 8"" x 5"")","11"" - 20""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
CHANEL VINTAGE PATENT QUILTED TOP HANDLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-patent-quilted-top-handle-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1772121626887x671098913258052500/Chanel%20Patent%20Quilted%20Top%20Handle%20Flap%20Bag%20BERCH261-1606-0%201.jpg","MEDIUM (10"" x 6"" x 2.5"")","3.5""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
GUCCI DENIM GG MARMONT MATELASSE MEDIUM SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/gucci-denim-gg-marmont-matelasse-medium-shoulder-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764104236395x730933877290204900/Gucci%20Denim%20GG%20Marmont%20Matelasse%20Medium%20Shoulder%20Bag%20BSBGU2510-876-0%201.jpg","MEDIUM (10.5"" x 6"" x 3"")","11"" - 20""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
CHANEL VERTICAL STITCH EAST WEST FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vertical-stitch-east-west-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1770695902149x788715580051772400/Chanel%20Vertical%20Stitch%20East%20West%20Flap%20Bag%20BERCH251-1378-0%201.jpg","SMALL (10"" x 5"" x 2"")","11.5""","WALLET, PHONE, AND KEYS",,,,
GUCCI PEBBLED LARGE JACKIE HOBO BAG,DELUXE,https://zerocollective.ca/bag/gucci-pebbled-large-jackie-hobo-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755806301337x454156117184521860/Gucci%20Pebbled%20Jackie%20Large%20Hobo%20Bag%20BOTGU257-761-0%201.jpg","MEDIUM (16"" x 13.5"" x 3"")","8""","WALLET, PHONE, SUNGLASSES, AND KEYS",Black with gold-tone hardware,Grained calfskin leather,"Large curved hobo shape, signature piston lock closure, soft pebbled leather, adjustable handle","Soft and sculptural, the Large Jackie Hobo in black pebbled leather drapes naturally with its relaxed, curved silhouette. The signature piston lock nods to Gucci’s storied archives, bringing an instantly recognisable touch to the design. Reintroduced for a new generation, the Jackie has become an enduring symbol of the house’s effortless Italian sophistication. A great choice for women who appreciate roomy silhouettes with heritage charm. Wear it with knit layers or chic casualwear for understated luxury."
GUCCI GG SUPREME HORSEBIT 1955 DRAWSTRING BUCKET BAG,CLASSIC,https://zerocollective.ca/bag/gucci-gg-supreme-horsebit-1955-drawstring-bucket-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764104094878x904989726225003300/Gucci%20GG%20Supreme%20Horsebit%201955%20Drawstring%20Bucket%20Bag%20BSBGU2510-886-0%201.jpg","SMALL (10"" x 9"" x 5"")","21.5""","WALLET, PHONE, AND KEYS",,,,
DIOR OBLIQUE SADDLE BAG,DELUXE,https://zerocollective.ca/bag/dior-oblique-saddle-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1772122015457x519848614804131260/Dior%20Oblique%20Saddle%20Bag%20BERDI261-2050-0%201.jpg","SMALL (9.5"" x 8"" x 2.5"")","7""","CARDHOLDER, PHONE, AND KEYS",,,,
PRADA NYLON TESSUTO GAUFRE SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/prada-nylon-tessuto-gaufre-shoulder-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1749674561709x536838412927583170/Prada%20Nylon%20Tessuto%20Gaufre%20Shoulder%20Bag%20BBAPR255-731-0%20%5B1%5D.jpg","SMALL (8"" x 6"" x 2"")","7""","WALLET, PHONE, AND KEYS",Sky blue with silver-tone hardware,Nylon Tessuto,"Soft ruched/textured finish, zip closure, triangular logo, short handle","Sporty and feminine, the Tessuto Gaufre Shoulder Bag features sky-blue ruched nylon with soft pleating and a lightweight feel. The zip closure, triangular Prada logo, and short handle create a functional and chic silhouette. Nylon Tessuto remains a Prada signature known for durability and urban practicality. A great choice for women who appreciate ease, comfort, and playful texture. Wear it with casual denim or athleisure-inspired layers for everyday charm."
DIOR GRAINED CALFSKIN SADDLE BAG,DELUXE,https://zerocollective.ca/bag/dior-grained-calfskin-saddle-bag-3,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755805990132x477595508361175600/Dior%20Grained%20Calfskin%20Saddle%20Bag%20BSBDI257-1715-0%201.jpg","SMALL (9.5"" x 8"" x 2.5"")","7""","CARDHOLDER, PHONE, AND KEYS",Light beige with gold-tone hardware,Grained calfskin leather,"Signature saddle silhouette, flap closure, single top handle, ""D"" charm, pockets","Soft and neutral, the Saddle Bag in light beige grained calfskin highlights the cult-favourite curved silhouette with warm gold detailing. The “D” charm and equestrian profile remain true to Galliano’s 1999 design, a shape made legendary through fashion and pop culture. Each bag is meticulously hand-assembled to celebrate Dior’s craftsmanship and heritage. A perfect choice for women who appreciate expressive shapes with enduring identity. Style it with flowing neutrals or denim for timeless ease."
CHANEL CAVIAR QUILTED MINI COCO TOP HANDLE,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-mini-coco-top-handle-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1760566186333x590019913385413100/Chanel%20Caviar%20Quilted%20Mini%20Coco%20Top%20Handle%20BJPCH259-3809-0%201.jpg","SMALL (9"" x 5.5"" x 4"")","3"" - 18""","WALLET, PHONE, AND KEYS","The vivid red tone and petite structured form give this Mini Coco Top Handle a bright, confident presence. Grained caviar leather, polished hardware, and the CC turn-lock anchor it firmly in Chanel’s iconic design language. The top-handle silhouette reflects the house’s longstanding appreciation for feminine, architectural shapes. A perfect piece for women who love compact structure with standout colour. Style it with pared-back neutrals or evening looks for refined impact.",Chanel caviar (grained calfskin),Top handle and leather-woven chain strap; flap closure with CC turn-lock; back slip pocket; interior slip and zip compartments,
FENDI ZUCCA MIDI CHAIN BAGUETTE BAG,CLASSIC,https://zerocollective.ca/bag/fendi-zucca-midi-chain-baguette-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1763762445332x150491155658745820/Fendi%20Zucca%20Midi%20Chain%20Baguette%20Bag%20BOTFE2510-1184-0%201.jpg","SMALL (9"" x 5.5"" x 2"")","19.5""","WALLET, PHONE, AND KEYS",,,,
DIOR VINTAGE LAMBSKIN CANNAGE EAST WEST BAG,CLASSIC,https://zerocollective.ca/bag/dior-vintage-lambskin-cannage-east-west-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1770695513494x349259510304789950/Dior%20Vintage%20Lambskin%20Cannage%20East%20West%20Bag%20BERDI2511-729-0%201.jpg","MEDIUM (12.5"" x 5"" x 3"")","6.5""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
DIOR PATENT CANNAGE MINI LADY DIOR BAG,DELUXE,https://zerocollective.ca/bag/dior-patent-cannage-mini-lady-dior-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1765995176915x485710997243854900/Dior%20Patent%20Cannage%20Mini%20Lady%20Dior%20Bag%20BSBDI2511-2474-0%201.jpg","X-SMALL (6.5"" x 6"" x 3"")","2.5"" - 23""",CARDHOLDER AND KEYS,,,,
CHANEL LAMBSKIN QUILTED PARIS MONACO MINI FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-paris-monaco-mini-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755550983696x976922418214301700/Chanel%20Lambskin%20Quilted%20Paris%20Monaco%20Flap%20Bag%20BSBCH257-2738-0%201-2.jpg","X-SMALL (6.5"" x 5"" x 2"")","21""",CARDHOLDER AND KEYS,White with gold-tone hardware,Lambskin leather,Front flap with CC turn-lock closure; leather-woven chain strap; charm-detailed chain; back slip pocket; interior zip pocket,"Monaco Mini Flap balances crisp white lambskin with charming details along its chain strap. Classic quilting and gold CC hardware maintain Chanel’s timeless structure, while the charm accents add a whimsical, occasion-ready feel. The design reflects the maison’s tradition of marrying iconic silhouettes with subtle seasonal storytelling. A lovely choice for collectors who enjoy minis with personality and craftsmanship. Style it with soft pastels or sparkling evening looks for chic delight."
CELINE SHINY CALFSKIN MEDIUM TILLY BAG,CLASSIC,https://zerocollective.ca/bag/celine-shiny-calfskin-medium-tilly-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1749675361685x528832813805536900/Celine%20Shiny%20Calfskin%20Medium%20Tilly%20Bag%20BERCE255-1536-0%20%5B1%5D.jpg","SMALL (9"" x 5"" x 2"")","8"" - 11""","CARDHOLDER, PHONE, AND KEYS",White with gold-tone hardware,Shiny calfskin leather,"Structured flap design, signature chain/ leather strap, metal clasp, smooth finish","Clean and refined, the Medium Tilly Bag showcases glossy white calfskin with sharp, structured lines. Gold hardware and a smooth finish enhance its minimal Parisian attitude. The Tilly reflects Celine’s dedication to quiet luxury rooted in clarity and form. A beautiful choice for women who gravitate toward simplicity with elevated intention. Style it with neutrals or structured tailoring for everyday sophistication."
CHANEL PATENT QUILTED MINI CLASSIC FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-patent-quilted-mini-classic-flap-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1772121448717x803389300114075800/Chanel%20Patent%20Quilted%20Mini%20Classic%20Flap%20Bag%20BERCH261-1536-0%201.jpg","X-SMALL (7.5"" x 5"" x 2.5"")","22.5""","CARDHOLDER, PHONE, AND KEYS",,,,
BOTTEGA VENETA INTRECCIATO NAPPA GARDA TOTE BAG,CLASSIC,https://zerocollective.ca/bag/bottega-veneta-intrecciato-nappa-garda-tote-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764778832174x379816172162876800/Bottega%20Veneta%20Intrecciato%20Tote%20BSBBV2511-595-0%201.jpg","LARGE (13"" x 10"" x 5.5"")","7""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",,,,
